frame_index,unix_time
0,0.0
1,0.03333333333333333
2,0.06666666666666667
3,0.1
4,0.13333333333333333
5,0.16666666666666666
6,0.2
7,0.23333333333333334
8,0.26666666666666666
9,0.3
10,0.3333333333333333
11,0.36666666666666664
12,0.4
13,0.43333333333333335
14,0.4666666666666667
15,0.5
16,0.5333333333333333
17,0.5666666666666667
18,0.6
19,0.6333333333333333
20,0.6666666666666666
21,0.7
22,0.7333333333333333
23,0.7666666666666667
24,0.8
25,0.8333333333333334
26,0.8666666666666667
27,0.9
28,0.9333333333333333
29,0.9666666666666667
30,1.0
31,1.0333333333333334
32,1.0666666666666667
33,1.1
34,1.1333333333333333
35,1.1666666666666667
36,1.2
37,1.2333333333333334
38,1.2666666666666666
39,1.3
40,1.3333333333333333
41,1.3666666666666667
42,1.4
43,1.4333333333333333
44,1.4666666666666666
45,1.5
46,1.5333333333333334
47,1.5666666666666667
48,1.6
49,1.6333333333333333
50,1.6666666666666667
51,1.7
52,1.7333333333333334
53,1.7666666666666666
54,1.8
55,1.8333333333333333
56,1.8666666666666667
57,1.9
58,1.9333333333333333
59,1.9666666666666666
60,2.0
61,2.033333333333333
62,2.066666666666667
63,2.1
64,2.1333333333333333
65,2.1666666666666665
66,2.2
67,2.2333333333333334
68,2.2666666666666666
69,2.3
70,2.3333333333333335
71,2.3666666666666667
72,2.4
73,2.433333333333333
74,2.466666666666667
75,2.5
76,2.533333333333333
77,2.566666666666667
78,2.6
79,2.6333333333333333
80,2.6666666666666665
81,2.7
82,2.7333333333333334
83,2.7666666666666666
84,2.8
85,2.8333333333333335
86,2.8666666666666667
87,2.9
88,2.933333333333333
89,2.966666666666667
90,3.0
91,3.033333333333333
92,3.066666666666667
93,3.1
94,3.1333333333333333
95,3.1666666666666665
96,3.2
97,3.2333333333333334
98,3.2666666666666666
99,3.3
100,3.3333333333333335
101,3.3666666666666667
102,3.4
103,3.433333333333333
104,3.466666666666667
105,3.5
106,3.533333333333333
107,3.566666666666667
108,3.6
109,3.6333333333333333
110,3.6666666666666665
111,3.7
112,3.7333333333333334
113,3.7666666666666666
114,3.8
115,3.8333333333333335
116,3.8666666666666667
117,3.9
118,3.933333333333333
119,3.966666666666667
120,4.0
121,4.033333333333333
122,4.066666666666666
123,4.1
124,4.133333333333334
125,4.166666666666667
126,4.2
